

----------------------------特别土特产----------------------------
特别土特产(2019-07-19 08:37:55):  看看这会行不行
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 11:21:59):  您好，请您确认包装完好，请您把需要退换的精品仔细包装，帮我们寄出。麻烦您在包裹内附带纸条写：淘宝ID,订单编号，退货还是换货及原因，以便更快捷地为您处理哦。退换货地址：上海上海市静安区江场三路86号9号楼5楼全层，收件人：石芝 ，电话：15035131805 麻烦您先支付退回运费，若是商品质量问题，运费我们会退给您的哦，非质量问题需要您自行承担运费，拒收平邮和到付件，请各位尊敬的捷豹路虎客户知悉哟。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 11:22:06):  亲亲申请一下换货一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 11:22:26):  申请成功之后我们的专员会处理的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 11:23:54):  我们这边会在收到您退回的商品后给您换货的哦
爱上一座城zz(2019-07-19 11:23:57):  我根本就没有动，原包装
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 11:24:03):  好的哈 
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 11:24:14):  申请成功后亲亲寄出就可以了哈
爱上一座城zz(2019-07-19 12:26:52):  不好意思打扰下，我申请换货，怎么申请
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:27:56):  麻烦您在申请退货的时候，理由选择为：7天无理由退换货。您好，请尽量按寄送时的原样包装，如需退货如果有赠品也请一并寄回。麻烦您在包裹内附带纸条写：淘宝ID,订单编号，退货还是换货及原因，以便我们更快捷地为您处理哦。谢谢您的理解和支持。
爱上一座城zz(2019-07-19 12:42:15):  亲您看到我申请了吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:42:54):  小客服看到了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:43:04):  申请 好了之后会有专员处理的哦
爱上一座城zz(2019-07-19 12:43:37):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:43:57):  [表情]
爱上一座城zz(2019-07-19 12:44:48):  那我可以把衣服接你说的地址寄回？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:45:08):  可以的哈
爱上一座城zz(2019-07-19 12:45:21):  谢谢您！
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:45:22):  不要忘记上传一下您的运单号的哦
爱上一座城zz(2019-07-19 12:45:34):  好的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:45:40):  [表情]
爱上一座城zz(2019-07-19 12:46:17):  运单号是放在衣服里一同寄回？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:46:51):  您的申请同意之后页面上会出现上传运单号的页面的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:47:12):  小客服这边也已经通知专员尽快处理您的申请了哦
爱上一座城zz(2019-07-19 12:47:53):  好的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:48:02):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:15:17):  亲亲您在吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:16:46):  给亲亲添麻烦了 专员刚才回复小客服说换货无法换颜色的哦 
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:17:35):  所以亲亲如果需要换颜色的话麻烦您这边申请一下退货7天无理由 再次重拍一下您需要的颜色哦[表情]
爱上一座城zz(2019-07-19 14:05:29):  好的，谢谢！
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:05:57):  给亲亲添麻烦了

----------------------------tb73941703----------------------------
tb73941703(2019-07-19 12:49:54):  你好，在吗
tb73941703(2019-07-19 12:49:55):  [卡片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:49:55):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:50:03):  亲，在的，请问有什么可以为您服务？[表情]
tb73941703(2019-07-19 12:50:12):  手机号改一下
tb73941703(2019-07-19 12:50:23):  15220429353
tb73941703(2019-07-19 12:50:34):  可以吗
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:50:39):  亲,请您申请退款重拍哦
tb73941703(2019-07-19 12:50:43):  好的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:50:48):  [表情]
tb73941703(2019-07-19 12:51:22):  申请了，帮忙处理一下
tb73941703(2019-07-19 12:51:24):  谢谢
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:51:29):  好的,不客气,这是我们应该做的呢[表情]
tb73941703(2019-07-19 12:52:05):  [表情][表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:52:08):  [表情]
tb73941703(2019-07-19 12:52:55):  同意一下
tb73941703(2019-07-19 12:52:57):  哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:53:11):  已经反馈给专员处理了哦,请您耐心等待一下
tb73941703(2019-07-19 12:53:23):  能退吧
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:53:28):  可以退的
tb73941703(2019-07-19 12:54:08):  要多久了，退了在下单哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:54:39):  大概在1点10左右哦
tb73941703(2019-07-19 12:55:04):  好的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:55:09):  [表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:00:15):  亲,已经同意了哦,您看下呢
tb73941703(2019-07-19 13:00:30):  好
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:00:36):  [表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:01:14):  下单请备注您的姓名,电话,提车门店信息哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:17:53):  亲,信息核对一下哦,下单人电话:15220429353   提车门店:全渠道深圳申隆汽车销售服务有限公司(深圳申隆汽车销售服务有限公司)
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:56:25):  亲,您下单后请凭收到的短信验证码到门店核销订金并完成购车哦,订金是抵扣您车款的,1000抵扣1000
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:57:48):  亲,请问还有什么可以帮您的吗?
tb73941703(2019-07-19 14:03:50):  
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 14:03:50):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~

----------------------------雷圆梦----------------------------
雷圆梦(2019-07-19 13:30:48):  您好，在吗
雷圆梦(2019-07-19 13:30:49):  [卡片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:30:49):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:31:01):  亲，在的，请问有什么可以为您服务？[表情]
雷圆梦(2019-07-19 13:31:23):  [图片]
雷圆梦(2019-07-19 13:31:30):  我想问下这个怎么操作的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:31:45):  请问您问的保养吗?
雷圆梦(2019-07-19 13:31:48):  我是4S店工作人员，客户说
雷圆梦(2019-07-19 13:31:52):  发给我的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:32:01):  请问您问的保养吗?
雷圆梦(2019-07-19 13:32:02):  对保养
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:32:28):  保养让客户提供车架号给你们,你们在系统里面查询
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:32:55):  [图片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:34:20):  您也可以加我们专员的微信,让专员告诉您具体的操作,备注您的姓名电话,和门店信息
雷圆梦(2019-07-19 13:34:21):  
雷圆梦(2019-07-19 13:35:40):  好的
雷圆梦(2019-07-19 13:35:42):  谢谢
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:35:52):  不客气,这是我们应该做的呢[表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:54:06):  亲,请问还有什么可以帮您的吗?
雷圆梦(2019-07-19 13:57:56):  
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:57:56):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~

----------------------------bown丶boy----------------------------
bown丶boy(2019-07-19 01:18:48):  http://item.taobao.com/item.htm?id=595421744539
bown丶boy(2019-07-19 01:18:48):  [卡片]
bown丶boy(2019-07-19 01:18:48):  [卡片]
捷豹路虎官方旗舰店:服务助手(2019-07-19 01:18:48):  [卡片]
bown丶boy(2019-07-19 01:19:00):  可以包邮不
捷豹路虎官方旗舰店:服务助手(2019-07-19 01:19:00):  [卡片]
bown丶boy(2019-07-19 01:19:26):  可以包邮就下单了
捷豹路虎官方旗舰店:服务助手(2019-07-19 01:19:27):  [卡片]
bown丶boy(2019-07-19 01:19:34):  谢谢[emoji]
捷豹路虎官方旗舰店:服务助手(2019-07-19 01:19:34):  [卡片]
bown丶boy(2019-07-19 01:19:41):  拜托了
捷豹路虎官方旗舰店:服务助手(2019-07-19 01:19:41):  [卡片]
bown丶boy(2019-07-19 09:13:36):  [未知]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 09:13:36):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 09:14:26):  全店精品单笔订单满300元包邮（港澳台地区除外）。不满足的话需要支付运费，建议您把中意的宝贝放入购物车凑满300元后一起提交购买哦。
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 09:34:38):  亲,请问还有什么可以帮您的吗?
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 10:03:59):  亲，已经有一段时间未收到您的消息了，您可以先收藏关注我们店铺，以便随时了解本店活动，我们的上班时间是9点至23点，如果您后续有问题欢迎联系我们，我们将竭诚为您服务！如果我的消息打扰到您，请您理解！非常感谢您对捷豹路虎官方旗舰店的支持，祝您生活愉快！
bown丶boy(2019-07-19 10:04:00):  
bown丶boy(2019-07-19 12:53:46):  我想要手机壳
bown丶boy(2019-07-19 12:53:58):  运费有点贵
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:54:15):  全店精品单笔订单满300元包邮（港澳台地区除外）。不满足的话需要支付运费，建议您把中意的宝贝放入购物车凑满300元后一起提交购买哦。
bown丶boy(2019-07-19 12:56:42):  自动回复有意思吗
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:57:23):  亲,不是自动回复哦,全店精品单笔订单满300元包邮（港澳台地区除外）。不满足的话需要支付运费,客服这边也改不了价格的哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:58:10):  建议您把中意的宝贝放入购物车凑满300元后一起提交购买哦,这样就可以享受包邮哦
bown丶boy(2019-07-19 13:05:16):  顺丰快递吗？
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:05:24):  是的,亲
bown丶boy(2019-07-19 13:05:32):  嗯嗯
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:05:37):  [表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:15:41):  亲,请问还有什么可以帮您的吗?
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:54:19):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~
bown丶boy(2019-07-19 13:54:20):  

----------------------------wyslkj----------------------------
wyslkj(2019-07-19 11:36:59):  在吗
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:37:00):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:37:05):  亲，在的，请问有什么可以为您服务？[表情]
wyslkj(2019-07-19 11:46:58):  怎么用
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:47:32):  请问您收打卡有先激活吗?
wyslkj(2019-07-19 12:02:23):  没有，刚手到
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:02:34):  收到卡后请您先按照说明书的流程下载联通app激活哦，激活成功后将您的卡插在车上，将车上的”移动数据”打开就可以使用了哦
wyslkj(2019-07-19 12:03:31):  主要是车上有那些要用这个卡
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:04:02):  有了这张卡之后，可以实现以下功能1，车内热点共享2，导航实时路况更新3，浏览器上网功能
wyslkj(2019-07-19 12:12:26):  哦，好，谢谢你
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:12:52):  不客气,这是我们应该做的呢[表情]
wyslkj(2019-07-19 12:25:18):  [图片]
wyslkj(2019-07-19 12:25:27):   怎么回事呢
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:25:40):  [图片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:25:52):  要在这里进入激活哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:26:15):  激活流程：下载联通APP ，不要登录，地点选择上海，首页下拉，找到实名认证点进去
wyslkj(2019-07-19 12:32:09):  [图片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:32:35):  已经提交成功了，请您耐心等待下，之后会通知您是否激活成功的
wyslkj(2019-07-19 12:32:38):  显示在审核中
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:32:44):  好的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:16:28):  激活成功后将您的卡插在车上，将车上的”移动数据”打开就可以使用了哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:18:11):  亲,请问还有什么可以帮您的吗?
wyslkj(2019-07-19 13:49:43):  
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:49:43):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~
wyslkj(2019-07-19 13:49:59):  好，谢谢
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:50:04):  不客气,这是我们应该做的呢[表情]

----------------------------钟炎文823----------------------------
钟炎文823(2019-07-19 11:58:55):  http://item.taobao.com/item.htm?id=529713246574
钟炎文823(2019-07-19 11:58:55):  [卡片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:58:55):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:59:04):  亲，在的，请问有什么可以为您服务？[表情]
钟炎文823(2019-07-19 11:59:04):  你好，
钟炎文823(2019-07-19 11:59:10):  1块钱领流量卡
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:59:14):  为购买本产品，请确保您具备如下条件：·您的爱车配备了InControl智能驭领高级触控服务系统；·您持有有效的中国大陆身份证；·您的收货地址位于中国大陆；·您拥有中国大陆手机号码；·您的爱车为一手车（需提供一手车发票）；·您需在开具购车发票后9个月内申请购买本产品；·确保您知晓爱车的VIN（车辆识别码）号码。
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:59:17):  亲，这个是办理SIM卡的条件，麻烦亲看下是否符合呢
钟炎文823(2019-07-19 11:59:33):  有
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:59:34):  线上的数控卡服务平台是指定VIN码才可以参加的，如果您有意申请购买，请提供一下全部的VIN码（车架号/车辆识别码），客服帮您查询确认一下是否可以购买哦。如果可以参加活动，客服会将购买链接发送给您的。
钟炎文823(2019-07-19 12:02:30):  好的
钟炎文823(2019-07-19 12:02:41):  给你发一个车架号就可以了是吗
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:03:04):  是的,亲
钟炎文823(2019-07-19 12:11:11):  好，一会我发给你
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:12:04):  好的，亲
钟炎文823(2019-07-19 12:18:44):  SALGA2BV2KA558728
钟炎文823(2019-07-19 12:18:50):  19款行政
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:19:07):  稍等，查询一下哦
钟炎文823(2019-07-19 12:19:13):  好的
钟炎文823(2019-07-19 12:19:23):  刚买的[表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:19:34):  亲，请您下单这个链接，务必在收货信息中提供车主的真实姓名、收货地址与手机号码，完成付款后，您将收到一条短信，引导您上传信息，短信一般次日收到的哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:19:36):  https://detail.tmall.com/item.htm?id=520717372031&spm=2014.21600712.0.0
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:19:39):  您下单并付款成功后，系统匹配到您的订单后，把上传信息的短信链接发送到订单上预留的手机号码，请您付款前再次核对确认号码无误（您需要在收到短信后3天内完成信息上传）请您在收到的短信链接中，打开网址按照步骤操作，进入实名认证系统内上传车主信息即可。
钟炎文823(2019-07-19 12:31:00):  下单了
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:31:09):  亲，请核对一下收货地址哦～广东省  广州市  番禺区  石基镇广东省广州市番禺区石基镇亚运大道895号合劲产业园10幢606房  000000  陈俊杰  13570441006钟炎文823(2019-07-19 12:31:32):  对
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:31:40):  亲，在收到发送的短信内有专属上传身份信息的链接，点击链接。自动进入上传信息界面，将“发票照片”、“身份证照片正反面”、“自拍免冠照”这4张照片上传至相应的框内（照片大小：手机2-3M，电脑是2M左右），点击“提交”完成。（速度较慢，耐心等待）
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:31:41):  照片上传注意事项：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍摄环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；注：请您在上传照片时严格按照上面的要求上传，如不符合要求，将无法认证您的信息。
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:31:52):  [图片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:31:59):  上传的范例您可以参考下哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:37:53):  亲，您上传完信息后可以联系客服帮您查询进度哦
钟炎文823(2019-07-19 13:15:13):  我现在还没收到短信呢
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:15:30):  一般是17:00以后收到哦
钟炎文823(2019-07-19 13:15:36):  好的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:15:47):  [表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:18:05):  亲,请问还有什么可以帮您的吗?
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 13:49:51):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~
钟炎文823(2019-07-19 13:49:52):  

----------------------------这个昵称叫蓝月亮----------------------------
这个昵称叫蓝月亮(2019-07-19 11:32:10):  你好
这个昵称叫蓝月亮(2019-07-19 11:32:11):  [卡片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:32:11):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:32:19):  亲，在的，请问有什么可以为您服务？[表情]
这个昵称叫蓝月亮(2019-07-19 11:32:29):  我要购买1??元流量卡
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:32:36):  为购买本产品，请确保您具备如下条件：·您的爱车配备了InControl智能驭领高级触控服务系统；·您持有有效的中国大陆身份证；·您的收货地址位于中国大陆；·您拥有中国大陆手机号码；·您的爱车为一手车（需提供一手车发票）；·您需在开具购车发票后9个月内申请购买本产品；·确保您知晓爱车的VIN（车辆识别码）号码。
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:32:38):  亲，这个是办理SIM卡的条件，麻烦亲看下是否符合呢
这个昵称叫蓝月亮(2019-07-19 11:34:22):  [图片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:34:43):  好的,亲[表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:35:18):  亲，请您下单这个链接，务必在收货信息中提供车主的真实姓名、收货地址与手机号码，完成付款后，您将收到一条短信，引导您上传信息，短信一般次日收到的哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:35:21):  https://detail.tmall.com/item.htm?id=520717372031&spm=2014.21600712.0.0
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:35:25):  您下单并付款成功后，系统匹配到您的订单后，把上传信息的短信链接发送到订单上预留的手机号码，请您付款前再次核对确认号码无误（您需要在收到短信后3天内完成信息上传）请您在收到的短信链接中，打开网址按照步骤操作，进入实名认证系统内上传车主信息即可。
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:36:03):  亲，请核对一下收货地址哦～河南省  郑州市  管城回族区  西大街街道日月星城B座15楼46号  450000  阮菊梅  15803842988捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:38:05):  亲，在收到发送的短信内有专属上传身份信息的链接，点击链接。自动进入上传信息界面，将“发票照片”、“身份证照片正反面”、“自拍免冠照”这4张照片上传至相应的框内（照片大小：手机2-3M，电脑是2M左右），点击“提交”完成。（速度较慢，耐心等待）
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:38:08):  照片上传注意事项：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍摄环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；注：请您在上传照片时严格按照上面的要求上传，如不符合要求，将无法认证您的信息。
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:38:39):  亲，您上传完信息后可以联系客服帮您查询进度哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:26:44):  [图片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:26:49):  上传范例您参考一下哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:26:54):  亲,请问还有什么可以帮您的吗?
这个昵称叫蓝月亮(2019-07-19 12:29:29):  好的
这个昵称叫蓝月亮(2019-07-19 12:29:45):  
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:29:45):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~
这个昵称叫蓝月亮(2019-07-19 12:30:05):  满意
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:30:17):  感谢亲的支持[表情]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:38:38):  很高兴为您服务，同时感谢您对我们的关注与支持！温馨提示您，在享受速度与激情的同时，也要注意行车安全哦~~期待您的下次光临，祝您心情愉快，再见~！
这个昵称叫蓝月亮(2019-07-19 12:38:39):  

----------------------------tb3548809----------------------------
tb3548809(2019-07-19 12:15:56):  你好我想问一下 为什么店铺没有xjl的车模啊
tb3548809(2019-07-19 12:15:56):  [卡片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:15:56):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:16:59):  很抱歉，暂时没有呢
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:27:45):  亲,您可以看下店里别的款式的车模哦
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:30:26):  亲,请问还有什么可以帮您的吗?
tb3548809(2019-07-19 12:38:31):  
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:38:31):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~

----------------------------tb10265783----------------------------
tb10265783(2019-07-19 12:07:02):  http://item.taobao.com/item.htm?id=595227710122
tb10265783(2019-07-19 12:07:02):  [卡片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:07:02):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
tb10265783(2019-07-19 12:07:07):  能不能开门
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:07:40):  不能哦，亲
tb10265783(2019-07-19 12:08:34):  可动的还是静止的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:09:07):  门不能打开，是静止的
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:29:05):  亲,请问还有什么可以帮您的吗?
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 12:38:10):  尊敬的客户， 后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天~~
tb10265783(2019-07-19 12:38:11):  

----------------------------lx251314888----------------------------
lx251314888(2019-07-19 11:14:40):  信息上传不成功
lx251314888(2019-07-19 11:14:40):  [卡片]
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:14:40):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
lx251314888(2019-07-19 11:14:47):  已经2次了
lx251314888(2019-07-19 11:14:57):  也不知道是哪里有问题
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:14:58):  这边查询一下具体的原因方便您及时调整哦
